AMP ID,Project Title,Input,Outputs,Impact,Outcome,Status,Date of effectiveness,Actual Start Date,Date of Agreement,District,Donor Agency,Secondary Sector Sub-Sector,Secondary Sector Sub-Sub-Sector,Secondary Sector,Primary Sector Sub-Sub-Sector,Primary Sector Sub-Sector,Primary Sector,Total Actual Commitments,Total Actual Disbursements
  872382535481,Support and Protection for Street Children and Vulnerable Families of Nepal,"Financial Support: As per SWC contract.    Technical Support: As per need    Training:     Training for the Team of Educators and Social Workers    The team of educators and social workers of VOC is highly motivated and all possess a great sensitivity to the problems of these children. Follow-ups and training sessions have allowed to evaluate their performance level, as well as to develop their capabilities and desire to progress.        Street children project    Several training sessions will be conducted either by external organizations or by EED. It aims at strengthening the capacity of VOC&#39;s educators, social workers and managers. The trainings topics could cover child development, child sexual abuse, language development, computer and language skills, etc.    Prevention project  The FDP approach has been successfully implemented in countries such as Cambodia and Philippines, but is quite new to Nepal. This new approach is being introduced by VOC, and hence, the staff from VOC will need to be trained on this new methodology.         Followup, Supervision and Monitoring: As per the provision in the agreement.","Expected Project Output:   Street Work     To build relation with 780 (260 X 3 years) street children and find out their real situation and socio economic background over the project's period;    To provide emergency services - first aid to 288 (96 X 3) children and direct rescue to 144 (48 X 3) children over the project's period;    To generate awareness and provide psychological services to 720 (240 X 3) children;       Welcome Center     To provide 780 (260 X 3 years) children with basic needs and support for their physical,/mental/educational skills each year over the project's period;    To conduct family visit of 180 (60 X 3) children to assess their family background with a view of a further reintegration over the project's period;    To refer 105 (35 X 3) children to the Preparation Center and 21 (7 X 3) children to families or other organizations over the project's period.       Preparation Center     To provide services and collect the information/ data for further process of 165 (55 X 3) children from the Preparation Center over the project period;    To promote the intellectual and emotional development of all the children as well as responsibility and creativity of 220 children over the project's period;    To prepare 105 (35 X 3) children for reintegration in their family or society/ Children Home over the project's period.       Family Reintegration     To develop and monitor the educational activities and follow up families of 120 (40 X 3) children over the project's period;    To conduct Family visit of 75 (25 X 3) working youth over the project's period;    To provide Medical support for 45 (15 X 3) children and 6 (2 X 3) families over the project's period;    To provide Psychological Counseling to 30 (10 X 3) children/ youth and 15 (5 X 3) families over the project's period;    To conduct regular meetings and special programs of the child club    To conduct 60 (20 X 3) family group meetings for savings and micro credit program over the project's period;    To Increase the capacity of the family to be responsible towards their children through Training/Workshop for 25 family members    To increase the intellectual ability of the children through 75 (25 X 3) outdoor visits and other activities as per need over the project's period;    To assist 15 children/ youth and their families in legal procedures such as acquiring citizenship, birth registration, etc.    Vocational Training and job placement     Develop the professional and life skills of 165 (55 X 3) youth from the street children and Family development projects.    Assist 165 (55 X 3) youth to build their self-reliance and provide job placements opportunities.    Family Development in Urban poor areas     To conduct regular family visits to 100 families the first, 200 families the second year and 300 in the third year;    To provide counseling and information to urban poor families regarding health, education, legal matters and family welfare.    To coordinate with at least 150 (50 X 3) existing services and organizations in order to refer urban poor families to improve their access to services    To organize awareness sessions or focus group discussions and social permanencies to 600 (200 X 3) families in the social centers about health, education, family relationships, family welfare and legal documents","Rates of street children cared for by various organizations in comparison to the numbers of street children still living in the street     - Preventive and therapeutic measures taken by authorities to prevent the problem of street children    Rate of children&#39;s reinsertion (in housing, families, vocational training, work) in comparison to total number of children taken in    - Number of families who had accessed to existing services",Children are removed from marginal status and reintegrated into the society    Children will have received a basic education and acquired professional competence    Families are more capable to protect and respect the needs of their children and support for the development of their children is increased    Educators and social workers better trained to take charge of children and their families    Families identify and respond to their own needs    Families use the existing available services,Completed,11/10/2010,11/10/2010,11/10/2010, , ,Family and children, ,SOCIAL PROTECTION, , ,"WOMEN, CHILDREN & SOCIAL WELFARE", , 
  87238833326,Rural Water & Sanitation Programme (Gurkha Welfare Scheme) Phase V, ,192 Water supply schemes built and repaired.    Percentage of Water and Sanitation Management Committee (WSMC) are functional and maintaining WATSAN    Hygiene and sanitation awareness programme conducted in each scheme enabling community to build HH and school latrines.    Project outputs sustained under localGovernment umbrella.,"Universal access to potable water, sanitation, and better health of communities.","Rural communities manage adequate use of potable water, improved hygiene and sanitation.",On-Going,03/02/2012,03/02/2012,03/02/2012," - Chitwan (Bharatpur)
 - Dhading (Dhading Besi)
 - Gorkha (Gorkha)
 - Gulmi (Tamghas)
 - Ilam (Ilam)
 - Kaski (Pokhara)
 - Khotang (Diktel)
 - Lamjung (Bensi Sahar)
 - Myagdi (Beni)
 - Nawalparasi (Parasi)
 - Nuwakot (Bidur)
 - Okhaldhunga (Okhaldhunga)
 - Parsa (Birgunj)
 - Pyuthan (Pyuthan Khalanga)
 - Ramechhap (Manthali)
 - Rolpa (Liwang)
 - Sankhuwasabha (Khandbari)
 - Solukhumbu (Salleri)
 - Syangja (Syangja)
 - Tanahu (Damauli)
 - Taplejung (Taplejung)
 - Terhathum (Manglung)
 - Udayapur (Gaighat)",Department for International Development,Housing and community amenities n.e.c., ,HOUSING AND COMMUNITY AMENITIES, , ,DRINKING WATER,23007019.44,3971880.521
  8723883772,Enabling State Programme, ,"Output 1: Voice and Accountability: Increase in the ability of civil society partners to hold decision makers to account and access their rights and entitlements   Output 2: State Capability: Selected state institutions are more capable   Output 3: Capacity Development: Increased capacity of ESP staff and partner organisations to measure gender equality and social inclusion, and promote accountability and transparency   Output 4: Information and Evidence: ESP supports the production of public information, sound evidence and analysis for state institutions, civil society and donors","State institutions are effective, inclusive and accountable contributing to peace and security in Nepal",State institutions and citizens work together to promote inclusive policies and programmes,Completed,05/11/1997,05/11/1997,05/11/1997, ,Department for International Development, , ,GENERAL PUBLIC SERVICE, , ,OFFICE OF THE PRIME MINISTER,56184514.67,52895092.21
  8723883573,"Rights, Democracy and Inclusion Fund (RDIF)", ,"1. Increased recognition by leadership of political parties of the importance of intra-party democracy, inclusion and inter-party cooperation.   2. Women, youth and other marginalized and excluded groups have increased awareness of and capacity to participate in and influence political process, including constitution making.   3. Increased knowledge and constructive engagement of civil society for civil, political and cultural rights of people.   4. Increased capacity of partner organizations (POs) to effectively implement projects on democratization process, inclusion and human rights.","To achieve a governance system characterised by democratic norms, respect for human rights and political and social inclusion of all groups","Political decision makers* better informed and more responsive to democratization, the civil, political and cultural rights of Nepalese people, and inclusion of marginalized and excluded groups. ------------------------ * Political parties, parliamentary bodies, government/bureaucracy",Completed,01/06/2009,05/06/2009,05/06/2009, ," - AusAid
 - Denmark
 - Department for International Development
 - Swiss Agency for Development and Cooperation",Social exclusion n.e.c., ,SOCIAL PROTECTION, , ,OTHERS - SOCIAL,8426483.64,6970801.171
  872381175334,"Promoting the Effective Governance of Labour Migration from South Asia through Actions on Labour Market Information, Protection during Recruitment and Employment, Skills, and Development Impact","Establish and test the information web portal -to be based in India    Periodic assessment of labour market information in destination countries (5 times)    Integrated employment services for the national and foreign labour markets will be introduced in two MOLE-job centres in Nepal    Study on labour market assessment in destination countries -    Establish information kiosks and establish a mobile team    Review of existing pre-departure orientation course and upgrade it    Support to strengthen: online registration at DOFE and its connection with missions abroad    Study on recruitment cost by country and occupation    Carry out a feasibility study to design a rating mechanism for recruitment agencies in India, Nepal and Pakistan.    Registration of sub-agents in India, Nepal and Pakistan and more effective regulation.    Blue-print and advocacy for reform of the recruitment mechanism in destination countries in GCC.    Assessment of complaints mechanisms in Nepal    Technical support for review of legislations;    TU/NGO Migration resource centre strengthened    Carry out an assessment of job requirements (skills and qualifications)    Consultation to develop a roadmap for better alignment and compatibility between job requirements (skills and qualification) in high demand occupations: construction, hospitality, trade and domestic work.    Upgrade the capacity of skills training institutes    Include skills recognition in standardised pre-departure training and issue of skills/employment passports    An assessment of trends and patterns in skilled emigration and return    A survey on remittances and financial products to attract savings and economic investments from migrants    Diaspora projects    A pilot programme: creation of a small fund leveraging diaspora contribution to development    An annual survey of key informants to monitor any significant outflows of health professionals from Nepal and corrective measures to be taken if necessary.","Provide reliable information on overseas employment opportunities, and build capacity for matching qualified job seekers with the demand from foreign employers.    Reduce migration costs and recruitment abuses in countries of origin and destination by improving recruitment services; and increase protection of migrant workers during employment.    Enhance training, portability of skills for outgoing and returning migrant workers, and to promote the development","The effecetive of governance of labour migration from South Asia through actions on labour market information, protection during recruitment and employment, skills and development impact.","To promote well-managed labour migration from South Asia, to ensure effective protection of the rights of vulnerable migrant workers, enhance the development impact of labour migration and reduce irregular flows.",On-Going,,01/07/2013,26/06/2013," - Rupandehi (Bhairahawa)
 - Sunsari (Inaruwa)"," - European Union
 - International Labour Organization","General economic, commercial and labour affairs", ,ECONOMIC AFFAIRS, , ," - LABOUR
 - POLICY AND STRATEGIC",1281500,500000
  872381175328,ILO-DFID Partnership Programme on Fair Recruitment and Decent Work for Women Migrant Workers in South Asia and the Middle East,"National/District Level     Mapping of current interventions in target Districts, existing local groups and organisations; programmes and identification of target beneficiaries (the project aims to complement a range of existing initiatives).    Produce materials specific to women migrant workers and disseminate through MRCs across the country.    Migrant Domestic Worker Pre-departure Training Course to be offered by FEPB in source districts following a revision of the existing training-manual; including country specific basic language and financial literacy (1500 women)    TOT for Pre-departure Orientation institutes and trainers.    Produce country specific information guides for domestic workers to UAE (similar to Information Guide for Domestic Workers in Lebanon in Nepali) disseminate through various stakeholders      Financial literacy manual for pre-departure orientation    Run radio messages through local FMs targeting to women, girls and children who are vulnerable to trafficking for labour exploitation.    Strengthen the network of journalists and enhance their knowledge on the nexus between migration, labour migration, forced labour and trafficking (national and district level training)    Local/Village Level     Strengthen/establish migrant information centres at the Chief District Offices in selected districts including counseling service in partnership with the MOLE/FEPB    Establish information kiosks and establish mobile team from the MRCs for outreach to potential women migrants and girls in villages    Training to Social Mobilization Officer, Social Mobilisers, VDC Secretaries and Concerned officials at District Level on Relevant laws and Preventive Measures.    Establish booths to disseminate information during mass gatherings at villages on the occasion of various festivals or similar events.    Capacity building programmes for the existing community level groups such as mothers' group, community forestry groups and community health offices to provide information on labour market, safe migration and financial planning.","Output 1: Women migrant workers and girls are empowered, in key source areas   Output 2: Recruitment agencies adopt ethical practices and are subject to improved monitoring and enforcement by state authorities   Output 3: Improved workplace practices and support services to safeguard the rights of women and girls   Output 4: Laws and policies in place and implemented to protect women migrant workers and girls   Output 5: New and better evidence is available on labour trafficking of women & girls within and from South Asia and on effective preventive measures","The aim of the project is to contribute towards bringing about a sustained situation where women and girls from South Asia are less vulnerable to situations of labour trafficking. To reach this goal the project will tackle root causes of trafficking at the community, national and international levels.","Migrant women and girls are empowered and prevented from being trafficked by:     Ensuring decent working conditions at destination    Increasing benefits of migration for workers and their families through regular remittances and a reduction of migration costs    Enhancing knowledge, skills, and employability of migrant women and education of girls",On-Going,15/07/2013,15/07/2013,15/07/2013," - Chitwan (Bharatpur)
 - Dholkha (Charikot)
 - Ilam (Ilam)
 - Morang (Biratnagar)
 - Rupandehi (Bhairahawa)",Department for International Development," - General economic, commercial and labour affairs
 - Unemployment", ," - ECONOMIC AFFAIRS
 - SOCIAL PROTECTION", , ," - LABOUR
 - WOMEN, CHILDREN & SOCIAL WELFARE",1997840,781734
  872381172756,Gender Responsive Recovery for Sustainble Peace,Training need assessment of tartget groups for promotion of entrepreneurial and vocational skils; mapping of BDS/Vocational trating institutions; support trainningon entrepreneurship and vocational skills development; facilitate linkages with business service providers including micro finance; post training support and sensitization and training on gender equality.,Enhanced knowledge base on gender equality at the work place; report on training need assesment of target groups;report on mapping of BDS/Vocational Training Institutions; ptential women entrepreneurs trained; enhanced knowledge on micro-finance.,"More job opportunities created in the labour market; enhanced technical and entrepreneurial skills of conflict affected women and their families, capacity enhancement of local bodies and service delivery agencies.",Gender responsive community-based economic recovery initiatives are designed and implemented.,On-Going,24/07/2012,24/07/2012,24/07/2012," - Kavrepalanchok (Dhulikhel)
 - Ramechhap (Manthali)
 - Sindhuli (Sindhuli Madhi)",United Nations Peace Fund, , ,OFF BUDGET, , ,LIVELIHOOD,293540,293540
  872381175487,Towards Achieving the Elimination of the Worst Forms of Child Labour as Priority (ACHIEVE),"- Review the report and data of the 2010 Child Labour Survey and prepare estimates to identify areas of high concentration of hazardous child labour at the district level.   - Prepare a District Mainstreaming Strategy in a from of a briefing note and identify key entry points in the various plans and frameworks (including those related to the economic and social empowerment of the families).   - Identify most feasible monitoring and reporting mechanisms to integrate child labour issue, particularly those linked with district/national planning mechanisms.   - Prepare a simple and low-cost 'how-to' manual (including tools and estimations) to serve as guidance for replication/adaptation of the model by other districts/sub-districts.   - Identify the most appropriate survey for purposes of identifying the number of children in the worst forms of child labour, age-group, gender, socio-economic status of the family, education status, workplaces where children are working including mapping of services and service providers for referrals and mainstreaming purpose.    - Develop social mobilization strategy to bring community members (including community leaders, families, school teachers, hospitals, youth, human rights groups and children among others) on-board.   - Through involvement of social partners, seek participation of employers and workers and their groups in programs, campaigns and referral processes in the two districts to ensure that children of legal working age are protected and those below working age are not involved in the worst forms or hazardous forms of child labour.   - Identify and facilitate linkages through joint programmes with schools, training and other services in cooperation with the DWCB and Child Protection/Welfare Committees   - Organize ToT for 50 national trainers using the Capacity Development Training Module prepared under Child Labour Phase I Project in cooperation with the MoLE/CLERS.   - Reach out to 200 individuals and relevant stakeholders from various agencies to mainstream child labour elements in their programs and curricula based on the Manuals and Guidelines developed by the Project.   - In collaboration with the CLERS, social partners, prepare a campaign module on workplace corporal punishment, Occupational Safety and Health and other workplace issues related to child labour and children at legal working age to contribute to the efforts of the SAIEVAC campaign in Nepal which can be replicated in other countries.   - Review national laws on child labour and those related to child labour.","Output1.1 A brief report prepared that includes a listing and explanation of priority geographical areas of concentration of the worst forms of child labour in Nepal   Output 1.2 District Mainstreaming Strategy prepared for integrated area-based approaches at the operational level in the two selected districts.   Output 1.3 Monitoring and reporting templates developed for the integration in the District monitoring and reporting   Output 1.4 Mainstreaming strategies and model(s) reviewed, documented and disseminated with a view to replication and scaling up   Output 1.5 Specific child labour related information generated as part of the district/sub-district surveys (baseline and monitoring) on children   Output 1.6 Community members are mobilized to make their communities child labour free and ensure children's education and development.   Output 1.7 Linkages are established with service providers for the withdrawn and prevented children from child labour, and families are socially and economically empowered   Output 2.1 Public and private sector official, social partners, child labour focal points, the media, and other stakeholders trained.    Output 2.2 Networking and partnerships on child labour issues are enhanced   Output 2.3 Programmes and activities developed with a view to educating and capacitating the employers and workers in the formal and informal economies on the applicable laws and on the ILO child labour Conventions ratified by Nepal.   Output 2.4 A synthesis report is produced on the findings of research on child labour and trends over the years are highlighted.   2.5 Enabling Policy Environment established for child labour elimination",Elimination of worst form of child labour in Nepal and creation of decent work to adult workers.,"1. Integrated area-based models for child labour-free communities are tested in selected communities in two districts and available for scaling-up in others.   2. The policy environment is conducive and institutional capacities are strengthened for the prevention and elimination of child labour, with a priority on its worst forms.",On-Going,01/07/2013,01/07/2013,20/06/2013," - Bhaktapur (Bhaktapur)
 - Morang (Biratnagar)",Denmark,Family and children, ,SOCIAL PROTECTION, , ," - LABOUR
 - WOMEN, CHILDREN & SOCIAL WELFARE",582000,582000
  872381172798,Way out of informality: Facilitating formalization of informal economy in Nepal.,"Technical Assistance, Policy Advice, Finanacial, Administrative & Logistic support.",Output 1.1: The incentives and the disincentives to formalizing unregistered small firms and own-account workers analyzed and addressed. Output 1.2: The incentives and the disincentives to formalizing informal workers and informalizing workers analyzed and addressed  Output 2.1: Job-rich growth strategies implemented at the target local areas  Output 2.2: The ready-to-formalize groups better linked to the upgradation and risk mitigation services  Output 3.1: A web-based knowledge sharing and monitoring platform developed and kept functional  Output 3.2: Good practices documents and videos from the project shared  Output 3.3: The national constituents and other key stakeholders are better exposed to the international experiences of formalization efforts,"The project is expected to contribute to the shift in growth and employment policies to those that facilitate accelerated expansion of formal sector, curb the growth of informal economy and reduce vulnerable employment.",Outcome 1: The regulatory and policy environment in the target local areas made more conducive to formalization and protective to the risks of informalization. Outcome 2: Formal job growth promoted through job-rich growth strategies and an integrated formalization assistance in the target local areas. Outcome 3: Good practices and tools of promoting formalization better understood by the constituents and key stakeholders at the national level in South Asia,On-Going,29/11/2012,03/09/2012,29/11/2012," - Bhaktapur (Bhaktapur)
 - Chitwan (Bharatpur)
 - Kaski (Pokhara)
 - Kathmandu (Kathmandu)
 - Lalitpur (Patan)
 - Morang (Biratnagar)
 - Sunsari (Inaruwa)",Japan,"General economic, commercial and labour affairs", ,ECONOMIC AFFAIRS, , ,LABOUR,1000000,430020
  872381173246,Capacity building of ILO Constituents and major Stakeholders towards creating enabling environment for jobs.,"1. International training and fellowships.   2. Policy Advise.   3. Subject matter Specialists inputs through workshops, highlevel meetings, studies and training","1. Government&#39;s capacities to establish national framework for social protection and to administer the social security fund under SSF Regulation 2067 enhanced.   2. Capacity of national level business service providers and their association or networks strengthened.   3.Capacity of tripartite constituents increased to finalise the 5 draft labour laws and related regulations.   4. Capacity of tripartite constituents to promote and influence raticification of C 87, C177, C183 and C102 strengthened.",Enabling environment for more and better jobs.,Strengthened national capacities in employment and labour sectors.,Completed,02/01/2012,02/01/2012,02/01/2012, ,International Labour Organization, , ,OFF BUDGET, , ," - INDUSTRY
 - LABOUR
 - LIVELIHOOD
 - YOUTH, SPORTS & CULTURE",1350526,1300000
  872381173244,"More and Better Jobs, especially for vulnerable groups.","1.Technical and financial assistance to the constituents to finalize the new labour act, freedom of association act and the national labour commission act.   2. Technical and financial assistance to the constituents for preparing relevant regulations.   2.Technical and financial assistance to ratify and apply international labour standards.   3. Policy advise and technical assistance to the GON to prepare implementation, monitoring and evaluation strategy on employment targets.   4. Technical assistance to the NPC to do the costing of National Social Protection Framework.",1. Finalised labour acts in place.   2. Relevant regulations drafted.   3. Technical Cooperation projects to support more and better jobs.   4. Costing available for National Social Protection Floor.   5.Technical cooperation projects against forced labour and traficking.,Improved living standard of the targeted groups.,"1. More women, youth and people from indegenous groups have access to productive employment, decent work and income opportunities.   2.Forced labour is eliminated.   3. Improved policies and legal framework on social security coverage for workers, notably of excluded groups.   4.Labour administrations apply up to date labour legislation and provide effective services.",Completed,02/01/2012,15/03/2012,02/01/2012," - Achham (Mangalsen)
 - Baitadi (Baitadi)
 - Bajhang (Chainpur)
 - Bajura (Martadi)
 - Banke (Nepalgunj)
 - Bara (Kalaiya)
 - Bardiya (Gulariya)
 - Bhaktapur (Bhaktapur)
 - Chitwan (Bharatpur)
 - Dadeldhura (Dadeldhura)
 - Dang Deukhuri (Ghorahi)
 - Darchula (Darchula)
 - Dhanusa (Janakpur)
 - Doti (Dipayal)
 - Humla (Simikot)
 - Ilam (Ilam)
 - Jajarkot (Khalanga)
 - Jhapa (Chandragadhi)
 - Kailali (Dhangadhi)
 - Kanchanpur (Mahendara Nagar)
 - Kaski (Pokhara)
 - Kathmandu (Kathmandu)
 - Kavrepalanchok (Dhulikhel)
 - Lalitpur (Patan)
 - Lamjung (Bensi Sahar)
 - Mahottari (Jaleswor)
 - Makwanpur (Hetauda)
 - Morang (Biratnagar)
 - Nawalparasi (Parasi)
 - Palpa (Tansen)
 - Parbat (Kusma)
 - Parsa (Birgunj)
 - Rautahat (Gaur)
 - Rupandehi (Bhairahawa)
 - Saptari (Rajbiraj)
 - Sarlahi (Malangwa)
 - Sindhuli (Sindhuli Madhi)
 - Siraha (Siraha)
 - Sunsari (Inaruwa)
 - Surkhet (Surkhet)
 - Udayapur (Gaighat)",International Labour Organization, , ,OFF BUDGET, , ," - LABOUR
 - POLICY AND STRATEGIC",1096561,1096561
  87238856786,Water and Sanitation Initiative Global Programming, , , , ,On-Going,10/06/2009,10/06/2009,10/06/2009, ,AusAid, , ,OFF BUDGET, , ,DRINKING WATER,68794.716,68794.716
  8723882255,Support to the Peace Process in Nepal - phase I, , , , ,On-Going,,07/03/2007,, ,Denmark, , ,PUBLIC ORDER AND SAFETY, , ,PEACE AND RECONSTRUCTION,5174100.647,5190616.583
  87238100592,"PCR 4, IR 2: Social Welfare Services","A description of the main activities of the project   2.1 Development of personnel, programme and budget structure and policies for the provision of social welfare services for children.  2.2 Capacity building of national level and district personnel from selected districts in the provision of social welfare services for children.  2.3 Provision of Social welfare services for children in selected districts.  2.4 Programmes to combat child labour in 8 municipalities/5 districts and to protect children at risk through family-based interventions in 2 districts.  2.5 Disaster Risk Reduction and Emergency Preparedness and Response for Child Protection.",Social welfare system provides a better response to children in need of special protection (at risk and victims),"Protect children from all forms of discrimination, exploitation and abuse. Ensure rights of children, focusing on those in especially difficult circumstances, such as children with disabilities, children affected by conflict, street children, child labourers and others. (National Plan of Action for Children 2005-2015).","Children, especially disadvantaged children and adolescent girls, are better protected from abuse, violence, exploitation, discrimination, lack of parental care and unnecessary separation from family and the impact of armed conflict.",On-Going,01/01/2008,01/01/2008,25/02/2008," - Baitadi (Baitadi)
 - Bajhang (Chainpur)
 - Bhojpur (Bhojpur)
 - Chitwan (Bharatpur)
 - Darchula (Darchula)
 - Dhanusa (Janakpur)
 - Dolpa (Dolpa)
 - Gorkha (Gorkha)
 - Humla (Simikot)
 - Jajarkot (Khalanga)
 - Jumla (Jumla Khalanga)
 - Khotang (Diktel)
 - Manang (Chame)
 - Mustang (Jomsom)
 - Nuwakot (Bidur)
 - Okhaldhunga (Okhaldhunga)
 - Panchthar (Phidim)
 - Parsa (Birgunj)
 - Ramechhap (Manthali)
 - Rasuwa (Dhunche)
 - Rolpa (Liwang)
 - Salyan (Salyan Khalanga)
 - Sankhuwasabha (Khandbari)
 - Sarlahi (Malangwa)
 - Solukhumbu (Salleri)
 - Taplejung (Taplejung)
 - Terhathum (Manglung)",United Nations Children's Fund,Family and children, ,SOCIAL PROTECTION, , ,"WOMEN, CHILDREN & SOCIAL WELFARE",1480000,643909
  8723879323,TA 7025: Education Sector Program (Subprogram III), ,To Prepare the School Sector Reform Program., , ,On-Going,20/01/2008,20/01/2008,20/01/2008," - Dadeldhura (Dadeldhura)
 - Kapilvastu (Taulihawa)
 - Kathmandu (Kathmandu)
 - Lalitpur (Patan)
 - Mugu (Gamgadhi)
 - Rasuwa (Dhunche)
 - Tanahu (Damauli)",Asian Development Bank, , ,EDUCATION, , ,EDUCATION,600000,454147
  8723879341,Supporting Capacity Development of Water Services Operations and Public-Private Partnership in Kathmandu Valley, ,"1. Start-up management support to KUKL including establishment of a functional PMU 2. Preparation and setting up of the operational, accounting, quality control, and management systems within KUKL for day-to-say service delivery and procurement of equipment and works 3. Procurement of consultancies and civil works for the identified demonstration scheme and immediate improvement works under the MWSP 4. Preparation of various plans, strategies, operational procedures and guidelines, customer services and pro-poor services management strategies 5. Assessment of organizational, capacity building, and tariff reforms required for the interim period for KUKL 6. Implementation of immediate rehabilitation and improvement works 7. Capacoty building for the 3 new entities through training, workshops, and benchmark studies",Improved health and well-being of the inhabitants of Kathmandu Valley through efficient and adequate provision of water supply and sanitation services.,"Development of appropriate operational, managerial and institutional capacity and framework for the sustenance of the urban water supply and sanitation services in Kathmandu Valley.",On-Going,11/01/2008,10/12/2007,11/01/2008," - Kathmandu (Kathmandu)
 - Lalitpur (Patan)",Asian Development Bank,Water supply, ,HOUSING AND COMMUNITY AMENITIES, , ,DRINKING WATER,2500000,1652818
  8723891441,Development Democracy in Nepal Responsive Facility (DDNRF) - Nepal,The DDNRF Nepal facility is a responsive mechanism designed to support sub-projects submitted by Nepali organisations. Project activities support Nepal in developing democratic processes leading to the election of a Constituent Assembly (CA) and the subsequent drafting of a new Constitution.,"Increased access by Nepalese, particularly women and socially excluded, to accurate information related to the upcoming Constituent Assembly elections, including its mandate, procedures and membership. Increased awareness and ability of Nepalese, particularly women and the socially excluded, to participate in informed debate related to democracy and constitutional issues. Nepalese, particularly women and the socially excluded, have increased understanding of and participation in the development of fair electoral practices. Increased ability to communicate effectively unbiased election messages and to facilitate informed public debate. Increased media coverage on issues of concern to all sections of Nepali society, particularly women and the socially excluded, to rural and remote areas. Increased access by the people, independent electoral bodies, and the Government of Nepal to international/Canadian experience and technical knowledge on equitable democratic governance systems and processes.", ,"Enhanced participation of the people of Nepal in ongoing democratic processes, supporting and leading to the election of socially inclusive Constituent Assembly and drafting of a new Constitution;  Unbiased reporting and improved communication of messages related to the upcoming election and drafting of the Constitution.  Increased capacity of election official to conduct peaceful, inclusive and unbiased elections",On-Going,,17/07/2006,, ,Canadian International Development Agency,Social exclusion n.e.c., ,SOCIAL PROTECTION, , ,OTHERS - SOCIAL,4402571.101, 
  8723891418,SAHAKARYA - Governance,Support for human resources development (for DDCs and VDCs)  Production and distribution of IEC materials both on LGCDP adn Sahakarya tools and experience  Training support for the orientation of the community on the provisons of LGCDP  Training for the capacity development of communities to be able to access public goods and services from the local government.,Capacity of local government to facilitate cmmunity consultations and structure community priorities into local program enhanced.  Capacity of grassroots level community-based organizations to access adn monitor resources at the locla level enhanced.  Social inclusion and women's representation in membership and governance of community organizations interfacing with government enhanced.,CSOs assert their right to development and hold local government accountable,Communities and community organizations participate actively in local governance processes.,On-Going,05/04/2010,02/04/2010,05/04/2010," - Baitadi (Baitadi)
 - Dadeldhura (Dadeldhura)
 - Dailekh (Dullu)
 - Jumla (Jumla Khalanga)
 - Surkhet (Surkhet)",Canadian International Development Agency,Community development, ,HOUSING AND COMMUNITY AMENITIES, , ,LOCAL DEVELOPMENT,346363.186,182500.782
  8723891372,Canada Fund for Local Initiatives,"Basic human needs, good governance, community infrastructure","1. Increased knowledge and skills of local communities and community based organizations in planning, implementation, networking, coordination, and managing sustainable development projects within the framework of devolution.   2. Increased access to specific basic human needs, socio-economic services, and   rural infrastructures by integrating gender and social inclusion, environment, and local governance in the project areas.   3. Increased and strengthened involvement of women's and underprivileged groups    (caste, class, and ethnicity) in planning, implementation and decision making in community development projects.   3. Strengthened CIDA local and bilateral initiatives by providing flexibility, building partnerships, and responding to new and innovative opportunities.","Enhanced quality of life of the people in Nepal through improved education, health, socio-economic status and their participation in making decisions.","1 Strengthened ability and capacity of local communities and community based   organizations (caste, class, gender, and ethnicity) in partnership with the local   government to plan, implement, and manage sustainable development projects through the process of devolution.   2 Improved access to basic human needs with rights based focus on community education, health, socio-economic status, and rural infrastructure, integrating gender, environment, and natural resources management in the project areas.   3 Increased leadership among women and underprivileged groups (caste, class, ethnicity) to promote gender and social equality at the community level.   4. Enhanced strategy with the CIDA bilateral initiatives.",On-Going,01/07/2010,,01/07/2010, ,Canadian International Development Agency," - Agriculture, forestry, fishing and hunting
 - Community development
 - Education n.e.c.
 - Environmental protection n.e.c.
 - Health n.e.c.
 - Social exclusion n.e.c.", ," - ECONOMIC AFFAIRS
 - EDUCATION
 - ENVIRONMENTAL PROTECTION
 - HEALTH
 - HOUSING AND COMMUNITY AMENITIES
 - SOCIAL PROTECTION", , ,LIVELIHOOD,330441.966, 
